5.65, 4.56
9.49, 4.04
10.78, 2.83
6.91, 3.44
25.66, 2.8
10.13, 3.4
21.29, 4.66
16.28, 2.14
14.5, 1.24
11.29, 3.57
9.7, 2.91
11.35, 1.16
8.23, 1.35
9.66, 2.56
17.72, 4.69
17.17, 5.33
11.25, 2.51
17.93, 2.27
12.9, 1.18
15.91, 4.74
19.1, 2.71
16.11, 5.41
15.65, 2.52
23.7, 1.92
2.05, 0.75
14.57, 1.04
13.23, 0.5
24.29, 1.06
8.31, 2.53
13.7, 4.23
23.04, 1.83
25.49, 4.13
25.73, 1.0
17.48, 4.33
16.2, 4.46
18.08, 4.59
9.31, 2.66
9.27, 4.9
4.09, 4.89
14.48, 4.51
5.0, 4.93
1.43, 4.7
3.02, 4.41
14.68, 1.42
22.52, 0.73
13.77, 4.1
16.81, 4.84
21.9, 1.24
12.74, 2.55
20.21, 2.08
13.65, 1.77
16.8, 3.04
18.18, 3.25
22.7, 1.49
2.43, 2.82
11.65, 1.46
20.97, 1.79
16.88, 2.49
20.0, 3.82
16.86, 4.39
21.85, 3.77
2.13, 1.4
16.39, 1.52
11.55, 3.04
8.43, 4.34
4.07, 3.05
13.45, 1.04
24.84, 4.35
13.39, 2.38
3.59, 0.58
8.31, 4.36
18.76, 2.2
23.84, 0.69
5.2, 5.03
11.01, 1.25
11.7, 3.13
5.95, 5.37
10.92, 1.84
16.14, 0.96
6.37, 5.24
13.34, 3.68
25.92, 2.73
20.8, 5.42
6.08, 1.48
11.11, 0.69
16.45, 4.44
1.27, 4.56
3.87, 1.95
18.88, 1.65
20.18, 4.65
15.31, 0.9
23.32, 2.96
7.16, 0.71
9.35, 2.59
2.25, 1.78
13.52, 0.93
18.7, 3.89
19.39, 4.21
25.1, 5.25
5.03, 2.78
9.54, 3.24
21.71, 2.86
14.86, 5.29
17.67, 3.03
15.5, 4.48
24.26, 0.6
6.47, 4.12
15.51, 1.19
7.47, 4.06
1.48, 2.57
5.68, 3.32
16.87, 1.4
14.39, 2.65
5.92, 2.06
12.89, 4.31
9.89, 2.39
19.51, 3.91
20.15, 4.37
8.1, 1.0
6.68, 3.82
11.65, 2.04
17.59, 2.2
21.15, 1.24
9.4, 4.82
12.67, 3.92
25.07, 3.62
23.44, 3.34
14.22, 4.61
12.45, 4.66
16.86, 4.97
17.2, 0.76
13.47, 3.4
14.3, 2.5
11.67, 5.49
14.87, 2.44
21.86, 2.8
10.04, 4.72
5.75, 1.93
3.5, 5.36
6.06, 5.27
14.47, 4.24
22.67, 2.14
17.04, 2.79
6.45, 1.45
11.38, 4.41
10.69, 1.39
19.13, 4.75
7.06, 2.3
9.05, 2.76
6.75, 4.9
18.98, 2.24
3.26, 4.0
5.17, 2.73
18.69, 1.65
18.26, 1.74
9.92, 0.98
10.97, 4.73
10.95, 2.78
13.53, 1.21
19.05, 1.28
23.83, 2.26
5.04, 5.25
11.03, 3.83
19.41, 4.92
12.48, 3.25
4.35, 2.14
15.96, 1.67
19.76, 2.19
12.75, 2.12
22.68, 1.14
17.26, 3.2
10.68, 2.77
20.45, 4.53
15.63, 4.23
5.65, 2.83
1.02, 1.4
18.58, 2.01
8.97, 2.47
6.07, 1.22
25.5, 1.42
2.88, 2.15
9.8, 0.7
1.77, 0.54
3.32, 2.66
22.38, 4.75
22.15, 5.17
15.26, 4.71
15.32, 4.37
8.99, 2.33
23.43, 5.4
24.53, 0.65
18.64, 4.63
22.74, 0.81
24.34, 5.22
14.54, 2.83
11.15, 3.82
22.94, 3.78
8.19, 2.65
7.06, 3.98
25.38, 1.26
36.13, 5.18
37.82, 6.29
38.9, 5.69
43.87, 6.88
38.01, 5.37
40.56, 6.04
39.23, 5.25
40.01, 5.11
41.4, 5.23
42.57, 4.31
38.53, 7.28
42.54, 4.01
37.5, 4.11
38.43, 7.12
39.52, 6.75
41.66, 6.89
40.97, 4.23
37.32, 7.37
38.38, 7.58
40.61, 7.65
36.24, 6.82
42.62, 4.07
39.13, 6.59
38.92, 7.63
41.65, 5.21
41.12, 6.4
44.58, 7.68
36.18, 5.49
40.88, 7.57
43.58, 7.16
35.08, 5.9
43.25, 4.93
36.97, 5.22
39.17, 4.74
36.84, 7.17
39.93, 6.35
40.01, 6.36
36.44, 7.94
37.15, 5.78
39.29, 6.09
36.0, 7.62
44.0, 4.06
42.45, 6.36
38.72, 4.4
38.84, 4.71
38.06, 6.55
39.35, 5.41
38.59, 7.02
43.11, 4.25
44.19, 5.76
39.78, 6.6
36.64, 6.04
41.64, 7.53
37.64, 7.5
37.79, 6.66
40.52, 4.62
37.46, 6.53
41.58, 4.36
42.29, 6.7
37.48, 4.81
43.27, 6.04
37.19, 5.99
37.07, 4.83
40.58, 7.57
43.28, 7.78
38.83, 7.46
39.96, 5.05
43.3, 4.16
36.49, 5.29
39.27, 6.64
41.72, 7.82
37.61, 6.7
44.8, 4.09
40.95, 4.66
37.17, 6.83
37.28, 4.3
40.1, 4.05
44.95, 4.43
43.73, 7.03
41.68, 5.3
65.95, 7.63
63.21, 8.97
63.18, 9.5
66.94, 9.04
61.89, 8.33
61.87, 9.28
61.38, 9.11
63.58, 9.58
67.13, 7.43
62.06, 7.16
60.15, 8.0
62.44, 6.75
59.18, 9.55
62.45, 9.43
64.19, 9.22
58.64, 6.62
60.18, 6.43
63.69, 7.44
63.55, 9.6
64.98, 7.68
59.08, 9.31
66.44, 8.02
66.51, 6.19
64.37, 6.28
65.15, 9.54
59.9, 6.6
64.04, 9.12
62.55, 8.94
59.66, 6.85
63.27, 8.53
59.88, 6.88
67.59, 9.99
60.07, 8.19
65.39, 9.01
64.33, 9.45
59.33, 6.04
62.97, 7.82
58.85, 8.47
67.3, 9.32
60.72, 9.12
59.31, 9.21
58.16, 6.26
67.76, 7.99
66.41, 6.85
62.34, 9.42
61.17, 6.94
62.81, 7.54
64.79, 7.03
64.62, 8.62
62.54, 9.04
59.53, 7.84
66.28, 7.92
65.13, 9.12
61.88, 9.89
65.23, 6.68
65.57, 8.26
65.5, 6.56
65.25, 6.31
61.3, 7.84
61.84, 8.86
59.05, 6.19
63.81, 6.39
62.0, 6.3
61.92, 9.53
65.64, 9.37
59.81, 8.38
58.39, 6.71
59.02, 9.26
67.26, 7.27
65.86, 8.0
60.37, 9.92
64.5, 9.06
63.25, 6.91
65.15, 6.06
60.81, 8.14
67.77, 7.08
63.01, 9.75
66.44, 7.54
59.43, 6.51
59.57, 6.18
