52, 23, 0
46, 75, 1
29, 30, 1
55, 42, 0
39, 47, 0
65, 26, 0
74, 54, 1
57, 76, 1
45, 85, 1
52, 18, 0
42, 83, 1
20, 27, 0
64, 83, 1
58, 64, 1
53, 53, 0
47, 70, 1
37, 38, 0
49, 95, 0
66, 95, 1
39, 72, 1
45, 21, 0
40, 49, 0
54, 75, 1
59, 78, 1
22, 43, 0
50, 84, 0
65, 62, 0
44, 83, 1
35, 44, 0
70, 102, 1
58, 37, 1
38, 78, 1
51, 47, 0
57, 103, 1
64, 37, 1
54, 71, 1
46, 55, 1
53, 36, 0
29, 44, 0
44, 62, 1
66, 17, 0
54, 47, 1
44, 15, 0
33, 8, 1
58, 83, 1
50, 46, 0
43, 49, 0
45, 19, 0
65, 88, 1
33, 44, 0
29, 62, 0
53, 59, 1
42, 51, 0
59, 59, 1
55, 64, 1
68, 60, 1
30, 33, 0
54, 84, 0
62, 90, 1
47, 45, 1
54, 44, 0
49, 59, 1
67, 55, 1
41, 59, 1
31, 38, 0
59, 82, 1
61, 33, 0
49, 23, 0
50, 58, 1
29, 42, 0
